채널,상품,주차,매출,수량
쿠팡,비타민C,4주차,39800.0,2.0
쿠팡,올리브오일,4주차,7980.0,2.0
쿠팡,올리브오일,4주차,14450.0,1.0
쿠팡,올리브오일,4주차,218900.0,11.0
쿠팡,올리브오일,4주차,25390.0,1.0
쿠팡,올리브오일,4주차,167230.0,7.0
쿠팡,코엔자임Q10,4주차,449800.0,23.0
쿠팡,마그네슘,4주차,43790.0,3.0
쿠팡,혈당컷,4주차,3990.0,1.0
쿠팡,혈당컷,4주차,11950.0,1.0
쿠팡,혈당컷,4주차,39800.0,2.0
쿠팡,혈당컷,4주차,47780.0,2.0
네이버,코엔자임Q10,4주차,25390.0,1.0
네이버,세트/기획전,4주차,141940.0,6.0
네이버,세트/기획전,4주차,74600.0,4.0
네이버,세트/기획전,4주차,11950.0,1.0
네이버,MSM,4주차,11950.0,1.0
네이버,오메가3,4주차,82790.0,21.0
네이버,오메가3,4주차,59750.0,5.0
네이버,오메가3,4주차,298500.0,15.0
네이버,오메가3,4주차,632030.0,27.0
네이버,루테인,4주차,27930.0,7.0
네이버,루테인,4주차,19900.0,1.0
네이버,루테인,4주차,92560.0,4.0
네이버,멀티비타민,4주차,15960.0,4.0
네이버,멀티비타민,4주차,23900.0,2.0
네이버,밀크씨슬,4주차,23940.0,6.0
네이버,밀크씨슬,4주차,19900.0,1.0
네이버,밀크씨슬,4주차,46780.0,2.0
네이버,비타민C,4주차,7980.0,2.0
네이버,비타민C,4주차,35850.0,3.0
네이버,비타민C,4주차,19900.0,1.0
네이버,비타민C,4주차,46780.0,2.0
네이버,세트/기획전,4주차,11950.0,1.0
네이버,세트/기획전,4주차,35850.0,3.0
네이버,올리브오일,4주차,50870.0,13.0
네이버,올리브오일,4주차,82650.0,7.0
네이버,올리브오일,4주차,318200.0,17.0
네이버,올리브오일,4주차,321980.0,14.0
네이버,칼마디아K,4주차,7980.0,2.0
네이버,칼마디아K,4주차,35850.0,3.0
네이버,코엔자임Q10,4주차,23940.0,6.0
네이버,코엔자임Q10,4주차,11950.0,1.0
네이버,코엔자임Q10,4주차,19900.0,1.0
네이버,코엔자임Q10,4주차,115450.0,5.0
네이버,마그네슘,4주차,23940.0,6.0
네이버,마그네슘,4주차,23900.0,2.0
네이버,마그네슘,4주차,39800.0,2.0
네이버,마그네슘,4주차,164230.0,7.0
네이버,혈당컷,4주차,11970.0,3.0
네이버,혈당컷,4주차,47800.0,4.0
네이버,혈당컷,4주차,59700.0,3.0
네이버,혈당컷,4주차,255790.0,11.0
쿠팡,MSM,5주차,11950.0,1.0
쿠팡,MSM,5주차,19900.0,1.0
쿠팡,MSM,5주차,23890.0,1.0
쿠팡,오메가3,5주차,19950.0,5.0
쿠팡,오메가3,5주차,2368100.0,119.0
쿠팡,오메가3,5주차,191120.0,8.0
쿠팡,세트/기획전,5주차,11950.0,1.0
