채널,상품명,상품,주차,매출,수량
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 3개",혈당컷,2주차,47800.0,4.0
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 3개",혈당컷,3주차,47800.0,4.0
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 5개",혈당컷,1주차,160420.0,9.0
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 5개",혈당컷,2주차,358200.0,20.0
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 5개",혈당컷,3주차,294520.0,15.0
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 6개",혈당컷,1주차,337920.0,16.0
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 6개",혈당컷,2주차,276900.0,15.0
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 6개",혈당컷,3주차,258790.0,11.0
11번가,클라리온 rTG 알티지 오메가3 30캡슐 25.05g 1박스,오메가3,2주차,27930.0,7.0
11번가,클라리온 rTG 알티지 오메가3 30캡슐 25.05g 5박스,오메가3,2주차,59850.0,3.0
11번가,클라리온 rTG 알티지 오메가3 30캡슐 25.05g 6박스,오메가3,1주차,95760.0,4.0
11번가,클라리온 rTG 알티지 오메가3 30캡슐 25.05g 6박스,오메가3,2주차,47880.0,2.0
11번가,클라리온 루테인 15g 30캡슐 15g 3박스 눈건강,루테인,1주차,11970.0,1.0
11번가,클라리온 루테인 15g 30캡슐 15g 3박스 눈건강,루테인,2주차,11970.0,1.0
11번가,클라리온 루테인 30캡슐 15g 1박스 눈건강,루테인,1주차,19950.0,5.0
11번가,클라리온 루테인 30캡슐 15g 1박스 눈건강,루테인,2주차,3990.0,1.0
11번가,클라리온 루테인 30캡슐 15g 5박스 눈건강,루테인,1주차,19950.0,1.0
11번가,클라리온 루테인 30캡슐 15g 6박스 눈건강,루테인,2주차,23940.0,1.0
